zipcode,grocery_stores,parks,libraries,health_centers,cta_train_stops,cta_bus_stops,crimes,z_grocery_stores,z_parks,z_libraries,z_health_centers,z_cta_train_stops,z_cta_bus_stops,z_crimes
60601,3,27,0,0,2,36,5,-0.6356890076784434,0.19683868138073363,-1.1146564949119988,-0.7038624402239171,0.006915406498823964,-1.019355431824029,-0.5616425404465748
60602,0,9,0,0,10,21,9,-1.0665214248425712,-0.5905160441422009,-1.1146564949119988,-0.7038624402239171,3.768896541859074,-1.1534984508487367,-0.18067802423343673
60603,0,1,0,0,2,11,6,-1.0665214248425712,-0.9404514777079496,-1.1146564949119988,-0.7038624402239171,0.006915406498823964,-1.2429271301985418,-0.4664014113932903
60604,0,1,0,0,4,12,2,-1.0665214248425712,-0.9404514777079496,-1.1146564949119988,-0.7038624402239171,0.9474106903388864,-1.2339842622635613,-0.8473659276064283
60605,2,38,1,0,5,86,9,-0.7792998133998194,0.6779999025336381,-0.17889548683772818,-0.7038624402239171,1.4176583322589176,-0.5722120350750033,-0.18067802423343673
60606,0,6,0,0,1,30,2,-1.0665214248425712,-0.7217418317293567,-1.1146564949119988,-0.7038624402239171,-0.4633322354212072,-1.0730126394339121,-0.8473659276064283
60607,4,21,2,0,5,123,12,-0.4920782019570675,-0.06561289379357788,0.7568655212365424,-0.7038624402239171,1.4176583322589176,-0.24132592148072426,0.1050453629264168
60608,18,62,2,12,6,319,25,1.5184730781421953,1.727806203230884,0.7568655212365424,4.163525282002492,1.8879059741789488,1.5114761937754564,1.3431800406191154
60609,20,46,5,7,5,399,17,1.8056946895849473,1.0279353360993868,3.564148545459354,2.135447064408155,1.4176583322589176,2.2269056285738977,0.5812510081928394
60610,11,13,1,2,2,103,11,0.5131974380925639,-0.41554832735932656,-0.17889548683772818,0.10736884681381784,0.006915406498823964,-0.4201832801803346,0.009804233873132279
60611,5,32,2,0,1,83,12,-0.34846739623569156,0.41554832735932656,0.7568655212365424,-0.7038624402239171,-0.4633322354212072,-0.5990406388799449,0.1050453629264168
60612,4,22,2,2,4,276,32,-0.4920782019570675,-0.021870964597859293,0.7568655212365424,0.10736884681381784,0.9474106903388864,1.1269328725712944,2.009867943992107
60613,9,17,1,2,5,152,8,0.22597582664981206,-0.24058061057645222,-0.17889548683772818,0.10736884681381784,1.4176583322589176,0.018017248633710622,-0.27591915328672123
60614,11,144,1,1,3,179,10,0.5131974380925639,5.314644397279808,-0.17889548683772818,-0.2982467967050496,0.47716304841885515,0.2594746828781845,-0.08543689518015223
60615,4,41,2,5,2,144,10,-0.4920782019570675,0.8092256901207938,0.7568655212365424,1.3242157773704202,0.006915406498823964,-0.05352569484613349,-0.08543689518015223
60616,8,55,2,3,3,229,10,0.08236502092843614,1.421612698860854,0.7568655212365424,0.5129844903326852,0.47716304841885515,0.7066180796272102,-0.08543689518015223
60617,14,54,4,3,0,416,30,0.9440298552566916,1.3778707696651353,2.628387537385083,0.5129844903326852,-0.9335798773412385,2.3789343834685663,1.8193856858855377
60618,17,37,1,1,2,276,12,1.3748622724208195,0.6342579733379194,-0.17889548683772818,-0.2982467967050496,0.006915406498823964,1.1269328725712944,0.1050453629264168
60619,10,28,2,1,0,315,26,0.369586632371188,0.24058061057645222,0.7568655212365424,-0.2982467967050496,-0.9335798773412385,1.4757047220355344,1.4384211696723999
60620,17,34,2,2,3,281,34,1.3748622724208195,0.5030321857507637,0.7568655212365424,0.10736884681381784,0.47716304841885515,1.171647212246197,2.200350202098676
60621,7,20,1,4,3,249,22,-0.06124578479293977,-0.10935482298929645,-0.17889548683772818,0.9186001338515527,0.47716304841885515,0.8854754383268204,1.057456653459262
60622,14,39,1,6,1,171,14,0.9440298552566916,0.7217418317293567,-0.17889548683772818,1.7298314208892875,-0.4633322354212072,0.18793173939834038,0.2955276210329858
60623,22,35,3,10,4,284,29,2.092916301027699,0.5467741149464823,1.692626529310813,3.3522939949647577,0.9474106903388864,1.1984758160511384,1.7241445568322533
60624,8,38,1,3,5,190,41,0.08236502092843614,0.6779999025336381,-0.17889548683772818,0.5129844903326852,1.4176583322589176,0.3578462301629701,2.8670381054716674
60625,12,33,2,4,6,182,7,0.6568082438139398,0.45929025655504513,0.7568655212365424,0.9186001338515527,1.8879059741789488,0.28630328668312605,-0.37116028234000575
60626,11,44,1,3,4,92,5,0.5131974380925639,0.9404514777079496,-0.17889548683772818,0.5129844903326852,0.9474106903388864,-0.5185548274651202,-0.5616425404465748
60628,14,30,2,4,0,352,22,0.9440298552566916,0.3280644689678894,0.7568655212365424,0.9186001338515527,-0.9335798773412385,1.8065908356298135,1.057456653459262
60629,15,27,1,5,1,246,23,1.0876406609780676,0.19683868138073363,-0.17889548683772818,1.3242157773704202,-0.4633322354212072,0.858646834521879,1.1526977825125464
60630,8,22,2,0,2,220,6,0.08236502092843614,-0.021870964597859293,0.7568655212365424,-0.7038624402239171,0.006915406498823964,0.6261322682123855,-0.4664014113932903
60631,2,22,1,0,1,64,3,-0.7792998133998194,-0.021870964597859293,-0.17889548683772818,-0.7038624402239171,-0.4633322354212072,-0.7689551296445746,-0.7521247985531438
60632,20,13,3,3,2,319,14,1.8056946895849473,-0.41554832735932656,1.692626529310813,0.5129844903326852,0.006915406498823964,1.5114761937754564,0.2955276210329858
60633,2,8,1,0,0,41,2,-0.7792998133998194,-0.6342579733379194,-0.17889548683772818,-0.7038624402239171,-0.9335798773412385,-0.9746410921491264,-0.8473659276064283
60634,13,7,3,1,0,287,7,0.8004190495353157,-0.6779999025336381,1.692626529310813,-0.2982467967050496,-0.9335798773412385,1.22530441985608,-0.37116028234000575
60636,15,11,1,1,1,205,23,1.0876406609780676,-0.5030321857507637,-0.17889548683772818,-0.2982467967050496,-0.4633322354212072,0.49198924918767784,1.1526977825125464
60637,11,67,1,1,2,292,17,0.5131974380925639,1.946515849209477,-0.17889548683772818,-0.2982467967050496,0.006915406498823964,1.2700187595309826,0.5812510081928394
60638,5,15,2,2,3,263,5,-0.34846739623569156,-0.3280644689678894,0.7568655212365424,0.10736884681381784,0.47716304841885515,1.0106755894165476,-0.5616425404465748
60639,32,19,2,2,0,310,18,3.529024358241458,-0.15309675218501503,0.7568655212365424,0.10736884681381784,-0.9335798773412385,1.4309903823606318,0.6764921372461239
60640,16,38,1,5,5,173,14,1.2312514666994436,0.6779999025336381,-0.17889548683772818,1.3242157773704202,1.4176583322589176,0.2058174752683014,0.2955276210329858
60641,10,13,1,0,1,224,11,0.369586632371188,-0.41554832735932656,-0.17889548683772818,-0.7038624402239171,-0.4633322354212072,0.6619037399523077,0.009804233873132279
60643,9,34,3,0,0,209,11,0.22597582664981206,0.5030321857507637,1.692626529310813,-0.7038624402239171,-0.9335798773412385,0.5277607209276,0.009804233873132279
60644,7,30,1,3,6,209,38,-0.06124578479293977,0.3280644689678894,-0.17889548683772818,0.5129844903326852,1.8879059741789488,0.5277607209276,2.581314718311814
60645,4,28,1,1,0,107,3,-0.4920782019570675,0.24058061057645222,-0.17889548683772818,-0.2982467967050496,-0.9335798773412385,-0.3844118084404125,-0.7521247985531438
60646,5,20,1,0,0,107,5,-0.34846739623569156,-0.10935482298929645,-0.17889548683772818,-0.7038624402239171,-0.9335798773412385,-0.3844118084404125,-0.5616425404465748
60647,18,47,3,6,3,257,18,1.5184730781421953,1.0716772652951052,1.692626529310813,1.7298314208892875,0.47716304841885515,0.9570183818066645,0.6764921372461239
60649,8,26,1,1,1,181,22,0.08236502092843614,0.15309675218501503,-0.17889548683772818,-0.2982467967050496,-0.4633322354212072,0.27736041874814554,1.057456653459262
60651,11,16,1,4,0,220,27,0.5131974380925639,-0.2843225397721708,-0.17889548683772818,0.9186001338515527,-0.9335798773412385,0.6261322682123855,1.5336622987256843
60652,2,8,2,0,0,128,3,-0.7792998133998194,-0.6342579733379194,0.7568655212365424,-0.7038624402239171,-0.9335798773412385,-0.19661158180582172,-0.7521247985531438
60653,6,44,0,4,3,135,7,-0.20485659051431568,0.9404514777079496,-1.1146564949119988,0.9186001338515527,0.47716304841885515,-0.13401150626095812,-0.37116028234000575
60654,0,3,0,0,3,69,16,-1.0665214248425712,-0.8529676193165124,-1.1146564949119988,-0.7038624402239171,0.47716304841885515,-0.724240789969672,0.48600987913955485
60655,3,9,1,0,0,108,0,-0.6356890076784434,-0.5905160441422009,-0.17889548683772818,-0.7038624402239171,-0.9335798773412385,-0.375468940505432,-1.0378481857129973
60656,2,6,1,0,2,64,2,-0.7792998133998194,-0.7217418317293567,-0.17889548683772818,-0.7038624402239171,0.006915406498823964,-0.7689551296445746,-0.8473659276064283
60657,5,18,2,2,4,141,9,-0.34846739623569156,-0.19683868138073363,0.7568655212365424,0.10736884681381784,0.9474106903388864,-0.08035429865107503,-0.18067802423343673
60659,14,18,1,1,0,140,1,0.9440298552566916,-0.19683868138073363,-0.17889548683772818,-0.2982467967050496,-0.9335798773412385,-0.08929716658605555,-0.9426070566597128
60660,9,25,1,1,3,82,3,0.22597582664981206,0.10935482298929645,-0.17889548683772818,-0.2982467967050496,0.47716304841885515,-0.6079835068149253,-0.7521247985531438
60661,3,1,0,0,2,38,3,-0.6356890076784434,-0.9404514777079496,-1.1146564949119988,-0.7038624402239171,0.006915406498823964,-1.0014696959540679,-0.7521247985531438
60664,0,0,0,0,0,0,0,-1.0665214248425712,-0.9841934069036682,-1.1146564949119988,-0.7038624402239171,-0.9335798773412385,-1.3412986774833275,-1.0378481857129973
60666,0,0,0,0,0,0,2,-1.0665214248425712,-0.9841934069036682,-1.1146564949119988,-0.7038624402239171,-0.9335798773412385,-1.3412986774833275,-0.8473659276064283
60680,0,0,0,0,0,0,0,-1.0665214248425712,-0.9841934069036682,-1.1146564949119988,-0.7038624402239171,-0.9335798773412385,-1.3412986774833275,-1.0378481857129973
60681,0,0,0,0,0,0,0,-1.0665214248425712,-0.9841934069036682,-1.1146564949119988,-0.7038624402239171,-0.9335798773412385,-1.3412986774833275,-1.0378481857129973
60690,0,0,0,0,0,0,0,-1.0665214248425712,-0.9841934069036682,-1.1146564949119988,-0.7038624402239171,-0.9335798773412385,-1.3412986774833275,-1.0378481857129973
60691,0,0,0,0,0,0,0,-1.0665214248425712,-0.9841934069036682,-1.1146564949119988,-0.7038624402239171,-0.9335798773412385,-1.3412986774833275,-1.0378481857129973
60701,0,0,0,0,0,0,0,-1.0665214248425712,-0.9841934069036682,-1.1146564949119988,-0.7038624402239171,-0.9335798773412385,-1.3412986774833275,-1.0378481857129973
60706,0,0,0,0,0,94,1,-1.0665214248425712,-0.9841934069036682,-1.1146564949119988,-0.7038624402239171,-0.9335798773412385,-0.5006690915951592,-0.9426070566597128
60707,3,4,1,0,0,83,1,-0.6356890076784434,-0.8092256901207938,-0.17889548683772818,-0.7038624402239171,-0.9335798773412385,-0.5990406388799449,-0.9426070566597128
60803,0,0,0,0,0,7,0,-1.0665214248425712,-0.9841934069036682,-1.1146564949119988,-0.7038624402239171,-0.9335798773412385,-1.2786986019384639,-1.0378481857129973
60804,0,0,0,0,2,76,0,-1.0665214248425712,-0.9841934069036682,-1.1146564949119988,-0.7038624402239171,0.006915406498823964,-0.6616407144248084,-1.0378481857129973
60805,0,0,0,0,0,66,0,-1.0665214248425712,-0.9841934069036682,-1.1146564949119988,-0.7038624402239171,-0.9335798773412385,-0.7510693937746136,-1.0378481857129973
60827,2,4,1,0,0,23,4,-0.7792998133998194,-0.8092256901207938,-0.17889548683772818,-0.7038624402239171,-0.9335798773412385,-1.1356127149787756,-0.6568836694998593
